"stanice","natural","diesel","okres","kraj"
"JaPeOil, Kraslická 250, Nejdek",35.3,34.8,"Karlovy Vary","Karlovarský"
"Agip, silnice E442, Chvojenec 207",35.9,34.9,"Pardubice","Pardubický"
"Novotný, Hřbitovní 670, Modřice",36.5,35.9,"Brno-venkov","Jihomoravský"
"Tank ONO, s.r.o., silnice 16, Sukorady-Martinovice",34.9,34.5,"Mladá Boleslav","Středočeský"
"RoBIN OIL",36.8,35.8,"Mladá Boleslav","Středočeský"
"KM-Prona, Mělnická, Bezno",36.9,35.9,"Mladá Boleslav","Středočeský"
"Zena, Kosořická 634, Dobrovice",36.7,35.9,"Mladá Boleslav","Středočeský"
"PapOil, R10, směr Mladá Boleslav, Benátky nad Jize",36.7,35.9,"Hlavní město Praha","Hlavní město Praha"
"Trako, Kloboucká 1397, Brumov",35.9,35.1,"Zlín","Zlínský"
"ČS Praha Florenc, Pod Výtopnou 13/10, Praha 8",35.9,35.3,"Hlavní město Praha","Hlavní město Praha"
"Galon, Boleslavská 300, Luštěnice",36.9,35.9,"Mladá Boleslav","Středočeský"
"Pavel Langr, Němčice 60",36.9,35.9,"Mladá Boleslav","Středočeský"
"Tank ONO, s.r.o., silnice 611, Kolaje",32.9,32.9,"Nymburk","Středočeský"
"Autocentrum Boura, Činěves 143",33.5,33.4,"Nymburk","Středočeský"
"RoBiN OIL, s.r.o., silnice E442, Jítrava-Rynoltice",35.3,34.5,"Liberec","Liberecký"
"FORS CS, Obřanská, Bílovice nad Svitavou",37.9,36.9,"Brno-venkov","Jihomoravský"
"MK Rasla, Dymokury",33.5,33.5,"Nymburk","Středočeský"
"Benzina Plus, Rynoltice 151, Rynoltice",35.6,34.8,"Liberec","Liberecký"
"Silmet, Ochoz u Brna 394, 664 02",36.4,35.9,"Brno-venkov","Jihomoravský"
"ASD Truck, Milíčovice 81",35.9,34.9,"Znojmo","Jihomoravský"
"Tavi Oil, Horní 41, Oloví-Hory",34.9,34.8,"Sokolov","Karlovarský"
"Agip, Čs.armády, Kraslice",36.9,35.9,"Sokolov","Karlovarský"
"LukOil, Bruntálská 6, Opava",35.2,34.5,"Opava","Moravskoslezský"
"PapOil, silnice 34, Stráž nad Nežárkou",35.7,34.5,"Jindřichův Hradec","Jihočeský"
"ČSAD Svitavy, Polička, Střítežská 271, 572 01",36.1,35.3,"Svitavy","Pardubický"
"BD Oil, Huštěnovská 1708, Staré Město",34.3,34.2,"Uherské Hradiště","Zlínský"
"OMV, Nádražní 1944, Uherské Hradiště-Staré Město",36.7,36.5,"Uherské Hradiště","Zlínský"
"ERNEKS/oil TEAM, Budislav 237, Budislav",36.2,35.9,"Svitavy","Pardubický"
"PapOil, L. Svobody 44, Studená",35.7,34.9,"Jindřichův Hradec","Jihočeský"
"VS Petrol, silnice 13, Srbice",32.9,32.9,"Teplice","-stecký"
"Benzina Plus, silnice E442, Teplice-Prosetice",36.7,36.7,"Teplice","-stecký"
"OMV, Táborská 2470/16, Písek",34.9,34.4,"Písek","Jihočeský"
"RoBiN OIL, s.r.o., Táborská 2260, Písek",35.6,34.5,"Písek","Jihočeský"
"Shell Czech Republic, a.s., Spojovací 1329, Třebíč",35.7,35.9,"Třebíč","Vysočina"
"Tank ONO, s.r.o., silnice E55, směr Kaplice, Dolní",32.9,32.9,"Leský Krumlov","Jihočeský"
"Tank ONO, s.r.o., silnice E55, směr Rakousko, Doln",32.9,32.9,"Leský Krumlov","Jihočeský"
"Armex Oil, silnice E55, Dolní Dvořiště",35.5,35.2,"Leský Krumlov","Jihočeský"
"Karel Frolík, Táborská 2400/10, Písek",34.9,33.9,"Písek","Jihočeský"
"Oktan, Bezdrevská, Zliv",34.5,34.5,"České Budějovice","Jihočeský"
"Šafránka, Masarykova 1008, Rudná",36.2,35.1,"Praha-západ","Středočeský"
"Benzina Plus, Smetanova, Hluboká nad Vltavou",35.9,35.5,"České Budějovice","Jihočeský"
"KM-Prona, Pražská 297, Městec Králové",35.5,34.9,"Nymburk","Středočeský"
"PapOil, Linecká 295, Kaplice",35.5,34.9,"Leský Krumlov","Jihočeský"
"RoBiN OIL, s.r.o., Omlenická 641, Kaplice",35.8,34.9,"Leský Krumlov","Jihočeský"
"Agip, Českobudějovická 279, Kaplice",36.9,36.4,"Leský Krumlov","Jihočeský"
"Benzina, silnice 19, Nezvěstice 41",34.5,34.2,"Plzeň-jih","Plzeňský"
"Benzina, Tovačovská 300, Přerov",35.9,35.2,"Přerov","Olomoucký"
"OMV, silnice E48, směr Karlovy Vary, Staré Sedlo",35.8,35.5,"Sokolov","Karlovarský"
"DAG, Benešov nad Černou",35.2,34.3,"Leský Krumlov","Jihočeský"
"Silmet, Malonty č.p. 84, 382 91",35.5,34.8,"Leský Krumlov","Jihočeský"
"Energomašinvex, Kojetínská 358/71, Přerov",34.9,32.9,"Přerov","Olomoucký"
"Benzina Plus, Dukelská, Přeštice",35.2,34.6,"Plzeň-jih","Plzeňský"
"OMV, Karla Havlíčka Borovského 2070, Sokolov",37.2,36.2,"Sokolov","Karlovarský"
"B.C.S., Kpt. Jaroše 279, Velká Bíteš-Janovice",36.4,35.7,"Žďár nad Sázavou","Vysočina"
"Benzina, Za Loukama 257, Velká Bíteš",36.4,35.7,"Žďár nad Sázavou","Vysočina"
"RoBiN OIL, s.r.o., Rožmberk nad Vltavou 136",34.9,33.9,"Leský Krumlov","Jihočeský"
"ČS, Mlečice",36.9,35.9,"Rokycany","Plzeňský"
"PapOil, Hlavní, Štěchovice",36.9,36.3,"Praha-západ","Středočeský"
"Shell Czech Republic, a.s., Nákladní 11, Jablonec",36.9,36.9,"Jablonec nad Nisou","Liberecký"
"Autoslužby Pavlišta, Jateční 3/725, Jablonec nad N",36.4,35.6,"Jablonec nad Nisou","Liberecký"
"Meandr Měchenice, Vltavská 248, Měchenice",36.5,35.9,"Praha-západ","Středočeský"
"Shell Czech Republic, a.s., silnice 102, Slapy 390",36.5,35.9,"Praha-západ","Středočeský"
"ČS, Voříšek-Domašín",34.9,34.4,"Rychnov nad Kněžnou","Královéhradecký"
"HDB, Zbuzany 978, Rychnov nad Kněžnou",36.4,35.4,"Rychnov nad Kněžnou","Královéhradecký"
"Tank ONO, s.r.o., silnice 29, Podolí I 98",32.9,32.9,"Písek","Jihočeský"
"Benzina Plus, Jiráskova 322, Rychnov nad Kněžnou",34.9,34.5,"Rychnov nad Kněžnou","Královéhradecký"
"Benzina, Rožmitálská 153, Březnice",34.9,34.9,"Příbram","Středočeský"
"KM-Prona, Ostašská, Police nad Metují",35.9,34.9,"Náchod","Královéhradecký"
"VS Petrol, K pivovaru 302, Davle",36.5,35.9,"Praha-západ","Středočeský"
"Agip, silnice 191, Chudenín-Uhliště",35.5,34.9,"Klatovy","Plzeňský"
"Benzina Plus, Svatá Kateřina ev.č. 4, Chudenín",35.5,34.9,"Klatovy","Plzeňský"
"OMV, Nádražní 1, Nýrsko",36.2,35.8,"Klatovy","Plzeňský"
"OMV, Jižní spojka, směr Hostivař, Praha 4-Krč",38.3,38.9,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., U Krčského nádraží 222",37.9,38.9,"Hlavní město Praha","Hlavní město Praha"
"Mobil Gas, Před nádražím, Praha 4-Krč",35.4,35.4,"Hlavní město Praha","Hlavní město Praha"
"Tankovací automat Kozov, Bouzov-Kozov",35.7,35.5,"Olomouc","Olomoucký"
"PapOil, silnice R35, směr Olomouc, Unčovice 126",35.9,35.2,"Olomouc","Olomoucký"
"LukOil, Českobrodská, Praha 9-Běchovice",35.5,35.1,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, Budějovická, Český Krumlov",36.9,36.7,"Leský Krumlov","Jihočeský"
"OMV, Domoradická, Český Krumlov",36.9,36.7,"Leský Krumlov","Jihočeský"
"Shell Czech Republic, a.s., silnice R10, směr Prah",37.7,37.2,"Liberec","Liberecký"
"Shell Czech Republic, a.s., silnice E67, Vysokov 1",37.4,37.5,"Náchod","Královéhradecký"
"Shell Czech Republic, a.s., silnice R10, směr Libe",37.7,37.2,"Liberec","Liberecký"
"Markop FL, Ctibořská, Halže",34.6,33.6,"Tachov","Plzeňský"
"Top Tank F1 gas, Obora",34.7,33.1,"Tachov","Plzeňský"
"RoBiN OIL, s.r.o., Sušická, Kašperské Hory",36.7,35.5,"Klatovy","Plzeňský"
"Benzina Plus, Pražská 603, Náchod",36.5,35.5,"Náchod","Královéhradecký"
"Shell Czech Republic, a.s., Kostelecká, Náchod",36.5,35.5,"Náchod","Královéhradecký"
"Shell Czech Republic, a.s.,Dobříš 1601",36.6,36.8,"Příbram","Středočeský"
"PapOil, Pražská, Dobříš",35.8,35.8,"Příbram","Středočeský"
"DB Plus, silnice 330, Budiměřice",32.9,32.9,"Nymburk","Středočeský"
"M-Pohon, Jíkevská 195, Bobnice",32.9,32.9,"Nymburk","Středočeský"
"RoBiN OIL, s.r.o., Vilémov 15",35.8,35.3,"Děčín","-stecký"
"Tix Express, Vilémov 82",35.9,35.9,"Děčín","-stecký"
"ČS, Chotutická, Křinec",32.9,32.9,"Nymburk","Středočeský"
"Pepino, Odřepsy",34.9,33.9,"Nymburk","Středočeský"
"Tank ONO, s.r.o., silnice E48, Krupá",32.9,32.9,"Rakovník","Středočeský"
"RoBiN OIL, s.r.o., Husova 111, Kopidlno",35.9,34.7,"Jičín","Královéhradecký"
"Silmet, Domažlická 836, Stod",35.9,35.5,"Plzeň-jih","Plzeňský"
"Benzina, Plzeňská, Stod",36.9,36.2,"Plzeň-jih","Plzeňský"
"Benzina, silnice 163, Frymburk",36.9,36.5,"Leský Krumlov","Jihočeský"
"Benzina, Kaplická, Vyšší Brod",35.9,34.9,"Leský Krumlov","Jihočeský"
"JR Tank, silnice 163, Loučovice",36.7,36.3,"Leský Krumlov","Jihočeský"
"Agip, silnice E55, Sezimovo Ústí 2491",36.4,36.4,"Tábor","Jihočeský"
"Shell Czech Republic, a.s., Pod Kovosvitem 1108, S",36.4,36.4,"Tábor","Jihočeský"
"HOS Lipno, silnice 163, Lipno nad Vltavou",36.9,36.5,"Leský Krumlov","Jihočeský"
"ČS, Křivoklát, silnice 201",37.7,36,"Rakovník","Středočeský"
"OMV, Jablunkov-Návsí 935",36.5,35.9,"Frýdek-Místek","Moravskoslezský"
"Slovnaft, Karlov, Velké Meziříčí",35.5,35.2,"Žďár nad Sázavou","Vysočina"
"Calibra Plus, Malá cihelna 1096, Polná",36.6,35.7,"Jihlava","Vysočina"
"Kar Oil, Zápská 1855, Brandýs nad Labem",35.5,35.7,"Praha-východ","Středočeský"
"PapOil, Pražská 1825, Brandýs nad Labem",37.5,37.2,"Praha-východ","Středočeský"
"Benzina, Františky Stránecké 4, Velké Meziříčí",35.5,34.9,"Žďár nad Sázavou","Vysočina"
"Horácké autodružstvo, K Novému nádraží 1345, Velké",35.8,35.4,"Žďár nad Sázavou","Vysočina"
"Agropa, Olšany 75",34.9,33.9,"Klatovy","Plzeňský"
"Benzina, Brněnská, Rosice",35.9,35.2,"Brno-venkov","Jihomoravský"
"ARMEX OIL, Černická 555, Měřín",34.9,33.9,"Žďár nad Sázavou","Vysočina"
"Tank ONO, s.r.o., silnice E442, Milovice u Hořic",32.9,32.9,"Jičín","Královéhradecký"
"RoBiN OIL, s.r.o., silnice 32, Budčeves 9",35.8,34.7,"Jičín","Královéhradecký"
"Star-Benzina, silnice E442, Hořice",34.5,34.2,"Jičín","Královéhradecký"
"ČSAD Hodonín, Měšťanská 76, Hodonín",35.9,35.2,"Hodonín","Jihomoravský"
"Shell Czech Republic, a.s., T.G.Masaryka 220, Ostr",35.9,35.9,"Jičín","Královéhradecký"
"FATO Plus, Opařanská, Bechyně",34.2,34.2,"Tábor","Jihočeský"
"Silmet, Bežerovice 50, Bechyně",35.2,35.9,"Tábor","Jihočeský"
"ALITRON CZ, s.r.o., K Majáku 5001, Zlín",35.5,34.9,"Zlín","Zlínský"
"Daitech, Olešná 71",35.9,34.9,"Havlíčkův Brod","Vysočina"
"Shell Czech Republic, a.s., Horní 1071, Chodov",36.7,36.7,"Sokolov","Karlovarský"
"PapOil, Sládkova, Zbiroh",34.9,34.8,"Rokycany","Plzeňský"
"PapOil, Chebská, Karlovy Vary",35.8,34.9,"Karlovy Vary","Karlovarský"
"PapOil, Slovenská 6/2027, Karlovy Vary",35.8,34.9,"Karlovy Vary","Karlovarský"
"PapOil, Chebská 113/108, Karlovy Vary",35.8,34.9,"Karlovy Vary","Karlovarský"
"OMV, Dolní Kamenná 14, Karlovy Vary",36.9,36.7,"Karlovy Vary","Karlovarský"
"Armex Oil, Podkrušnohorská, Litvínov",36.9,36.5,"Most","-stecký"
"OMV, Pobřežní 22, Karlovy Vary",36.9,36.7,"Karlovy Vary","Karlovarský"
"D Oil, Troubsko",34.9,34.5,"Brno-venkov","Jihomoravský"
"KM-Prona, Náchodská 558, Velké Poříčí",35.9,34.9,"Náchod","Královéhradecký"
"OMV, Chodovská 3256/4, Praha 4-Michle",36.9,36.9,"Hlavní město Praha","Hlavní město Praha"
"Tank ONO, s.r.o., silnice 4/139, Kbelnice",32.9,32.9,"Strakonice","Jihočeský"
"Agip, Brněnská, Třebíč",35.5,34.7,"Třebíč","Vysočina"
"Stanislava Adamová, Sokolohradská 1712, Chotěboř",35.9,35.4,"Havlíčkův Brod","Vysočina"
"Benzina, Průmyslová 508, Ždírec nad Doubravou",36.9,35.9,"Havlíčkův Brod","Vysočina"
"DPB Paskov, Slezská, Frýdek-Místek",35.9,35.9,"Frýdek-Místek","Moravskoslezský"
"Agip, Jablonec nad Jizerou 800",36.7,36.2,"Semily","Liberecký"
"ČS, Štoky 356",36.9,36.4,"Havlíčkův Brod","Vysočina"
"DAT CZ, Netolická 413, Lhenice",35.2,34.8,"Prachatice","Jihočeský"
"LukOil, Slezská, Dobrá u Frýdku Místku",35.7,34.8,"Frýdek-Místek","Moravskoslezský"
"Bary, Osvobození 366, Ráječko",36.6,35.2,"Blansko","Jihomoravský"
"Unicorn, Poříčí 11, Blansko",35.9,35.4,"Blansko","Jihomoravský"
"OMV, Na Řadech 2379/2, Blansko",37.2,35.5,"Blansko","Jihomoravský"
"Bary, Sportovní 199, Rájec-Jestřebí",36.9,35.9,"Blansko","Jihomoravský"
"Benzina, Svitavská 23, Blansko",36.9,35.9,"Blansko","Jihomoravský"
"Benzina, Kamýcká 10, Praha 6-Suchdol",36.5,36.4,"Hlavní město Praha","Hlavní město Praha"
"Kontakt, Frýdlantská, Nové Město pod Smrkem",35.2,34.4,"Liberec","Liberecký"
"Kontakt, Jizerská 599, Hejnice",35.5,34.9,"Liberec","Liberecký"
"OMV, Nádražní 2, Blansko",35.7,35.5,"Blansko","Jihomoravský"
"EBU, Sloup 187",36.9,36.2,"Blansko","Jihomoravský"
", U Bílého sloupu, Litvínov",36.9,36.5,"Most","-stecký"
"RobinOil, s.r.o., Tlumačov - Skály",36.8,34.8,"Zlín","Zlínský"
"ALITRON CZ, s.r.o., Lípa 269",35.9,35.9,"Zlín","Zlínský"
"Tank ONO, s.r.o., silnice 55, Spytihněv 572",34.9,34.5,"Zlín","Zlínský"
"Silmet, Osvobození, Lípa",36.9,35.9,"Zlín","Zlínský"
"Benzina, Pražská, Liběchov",33.9,33.9,"Mělník","Středočeský"
"Silmet, Zlínská 392, Fryšták",36.9,36.2,"Zlín","Zlínský"
"Shell Czech Republic, a.s., Fryštácká 470, Zlín",38.2,37.2,"Zlín","Zlínský"
"Shell Czech Republic, a.s., Třída Tomáše Bati 258,",38.3,37.3,"Zlín","Zlínský"
"PapOil, Zábraní 1538, Napajedla",36.7,35.5,"Zlín","Zlínský"
"Silmet, silnice 55, Tlumačov",35.9,35.9,"Zlín","Zlínský"
"PapOil, Karlštejn 324",35.5,34.9,"Beroun","Středočeský"
"MAKRO Cash & Carry ČR, s.r.o., třída 3. května, Zl",35.5,33.9,"Zlín","Zlínský"
"OMV, Výletní, Zlín",37.2,36.2,"Zlín","Zlínský"
"OMV, Hlávkova 1133, Přeštice",35.5,34.6,"Plzeň-jih","Plzeňský"
"Gašparec, Zlínská, Vizovice",36.7,35.7,"Zlín","Zlínský"
"Benzina Plus, Vizovická 375, Zlín",38.3,37.3,"Zlín","Zlínský"
"OMV, 5. května 685, Klatovy",35.2,34.4,"Klatovy","Plzeňský"
"Benzina, Školní 633, Slušovice",36.2,35.7,"Zlín","Zlínský"
"Benzina, Okružní 5296, Zlín",37.9,36.9,"Zlín","Zlínský"
"LukOil, Lipenská 52, Olomouc",35.2,33.4,"Olomouc","Olomoucký"
"MAKRO Cash & Carry ČR, s.r.o., Olomoucká 791, Velk",34.4,33.6,"Olomouc","Olomoucký"
"Albert ČS, 5. Května 689, Klatovy",34.5,33.7,"Klatovy","Plzeňský"
"Alitron, Razov 1253, Vizovice",35.9,35.3,"Zlín","Zlínský"
"Benzina, Nádražní, Napajedla",35.5,35.5,"Zlín","Zlínský"
"ČS, Olomoucká 901, Velká Bystřice",34.9,34.5,"Olomouc","Olomoucký"
"TOLOSANER a.s., Štěpánkovická 12, Kravaře",34.9,34.9,"Opava","Moravskoslezský"
"Shell Czech Republic, a.s., Kvítkovická 1568, Napa",36.5,35.9,"Zlín","Zlínský"
"Agip, Třída Tomáše Bati 5276, Zlín",38.3,37.3,"Zlín","Zlínský"
"Benzina, tř.Tomáše Bati 1601, Otrokovice",35.8,34.8,"Zlín","Zlínský"
"OMV, Kvítkovická 1569, Napajedla",35.5,35.9,"Zlín","Zlínský"
"Tesco Stores ČR, a.s., Hradecká 1141, Jičín",35.2,34.2,"Jičín","Královéhradecký"
"OMV, Husova 1094, Jičín",36.5,35.5,"Jičín","Královéhradecký"
"ALITRON CZ, s.r.o., areál Svit, Zlín-Rybníky",34.9,35.5,"Zlín","Zlínský"
"Shell Czech Republic, a.s., Žitavská, Liberec",37.2,36.2,"Liberec","Liberecký"
"Shell Czech Republic, a.s., Košická, Liberec",36.9,36.9,"Liberec","Liberecký"
"M-SILNICE, a.s.",34.8,34.4,"Jičín","Královéhradecký"
"Kontakt, Hradecká 805, Jičín",35.9,34.9,"Jičín","Královéhradecký"
"Petronal, s.r.o., Dr. Milady Horákové 41/612, Libe",33.9,33.4,"Liberec","Liberecký"
"Liberecká automobilová doprava, České mládeže 33,",35.7,35.5,"Liberec","Liberecký"
"PapOil, Liberecká, Hrádek nad Nisou",36.5,35.9,"Liberec","Liberecký"
"OMV, Nákladní, Liberec",36.9,36.9,"Liberec","Liberecký"
"G7, Karlovarská 412, Pernink",35.9,34.2,"Karlovy Vary","Karlovarský"
"RMW, Potůčky 175",36.1,34.5,"Karlovy Vary","Karlovarský"
"Top Tank F1 gas, Potůčky 180",36.1,34.5,"Karlovy Vary","Karlovarský"
"Agip, J. Opletala 2282, Frýdek-Místek",36.2,36.4,"Frýdek-Místek","Moravskoslezský"
"OMV, Beskydská 2247, Frýdek-Místek",36.2,36.4,"Frýdek-Místek","Moravskoslezský"
"Globus, Sousedská 600, Liberec",34.4,33.5,"Liberec","Liberecký"
"Kontakt, Krejčího 994, Liberec 6",36.2,35.5,"Liberec","Liberecký"
"Autorest, Dr. A. Hejny 1084, Úpice",35.8,34.9,"Trutnov","Královéhradecký"
"Trilobit, Bořislav 138",35.9,35.6,"Teplice","-stecký"
"Benzina Plus, Hranická 8, Fulnek",36.3,35.7,"Nový Jičín","Moravskoslezský"
"Čerpací stanice Brtek, Revoluční 1190, Šestajovice",34.7,33.7,"Praha-východ","Středočeský"
"PapOil, Podkrušnohorská, Litvínov",35.9,35.9,"Most","-stecký"
"Shell Czech Republic, a.s., Budějovická 15, Třeboň",36.5,35.9,"Jindřichův Hradec","Jihočeský"
"Čermák IES, Doubská 997, Liberec",35.8,35.5,"Liberec","Liberecký"
"Benzina Plus, Chrastavská, Liberec",36.7,36.2,"Liberec","Liberecký"
"Jiří Vlach, silnice 494, Vlachovice 381",35.6,35,"Zlín","Zlínský"
"Benzina Plus, Kozlovická 539, Nepomuk",34.9,35.2,"Plzeň-jih","Plzeňský"
"ASB, Kubelíkova 64, Liberec",36.3,34.9,"Liberec","Liberecký"
"AD, Roviny 4, Brno-Chrlice",36.6,35.2,"Brno-město","Jihomoravský"
"Agip, Pražská, Liberec",36.9,36.9,"Liberec","Liberecký"
"Benzina, Katovická, Strakonice",34.5,34.5,"Strakonice","Jihočeský"
"ČP COBALT, Doubská 13, Liberec, směr Rychnov",35.6,34.6,"Liberec","Liberecký"
"Benzina Plus, Dukelských hrdinů 1560, Slaný",35.2,34.4,"Kladno","Středočeský"
"Benzina Plus, Argentinská, do centra, Praha 7-Hole",37.9,38.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Kačická, Smečno",33.9,33.5,"Kladno","Středočeský"
"Tank ONO, s.r.o., silnice 58, Mošnov",32.9,32.9,"Nový Jičín","Moravskoslezský"
"ERNEKS/oil TEAM, Silnice 58, Skotnice",33.9,33.9,"Nový Jičín","Moravskoslezský"
"Benzina Plus, Hradecká, Jaroměř",36.3,35.5,"Náchod","Královéhradecký"
"Vena Trade, Lipovec 313",33.8,33.3,"Blansko","Jihomoravský"
"Benzina, Opavská 407, Pustkovec, Ostrava",36.9,36.4,"Ostrava-město","Moravskoslezský"
"TOLOSANER a.s., Opavská 565, Horní Benešov",34.9,34.5,"Bruntál","Moravskoslezský"
"LukOil, silnice 43, Lipůvka 363",35.2,33.7,"Blansko","Jihomoravský"
"Agip, U Elektrárny, Praha 7-Holešovice",37.2,37.2,"Hlavní město Praha","Hlavní město Praha"
"Petr, Českobrodská, Praha 9-Běchovice",35.9,35.5,"Hlavní město Praha","Hlavní město Praha"
"Unicorn, Brněnská 341, Dobšice",36.9,35.9,"Znojmo","Jihomoravský"
"OMV, silnice E442, Teplice-Prosetice",36.7,36.7,"Teplice","-stecký"
"Vena Trade, Bělkovice",33.8,33.3,"Olomouc","Olomoucký"
"Gulf, silnice č.46, Horní Loděnice",36.2,35.2,"Olomouc","Olomoucký"
"Swiss Tank, silnice 397, Božice",35.9,35.7,"Znojmo","Jihomoravský"
"Unicorn, Pavlice",35.1,35.8,"Znojmo","Jihomoravský"
"Shell Czech Republic, a.s., silnice 408, Kuchařovi",37.9,36.9,"Znojmo","Jihomoravský"
"Shell Czech Republic, a.s., Vídeňská třída 16, Zno",37.9,36.9,"Znojmo","Jihomoravský"
"Silmet, Na Křižovatce, Miroslav",36.9,36.9,"Znojmo","Jihomoravský"
"PapOil, silnice E59, Žerůtky",35.9,34.9,"Znojmo","Jihomoravský"
"Shell Czech Republic, a.s., silnice 53, Bantice",36.9,36.7,"Znojmo","Jihomoravský"
"Roha, Štouračova 1A, Brno-Bystrc",37.4,37.2,"Brno-město","Jihomoravský"
"PapOil, silnice E59, Chvalovice-Hatě",35.2,34.9,"Znojmo","Jihomoravský"
"PapOil, silnice 408, Tasovice",36.4,35.5,"Znojmo","Jihomoravský"
"OMV, Pražská 3568/90, Znojmo",37.9,36.9,"Znojmo","Jihomoravský"
"Tank ONO, s.r.o., Královedvorská, Trutnov",34.5,33.5,"Trutnov","Královéhradecký"
"K-Oil, Kpt.Jaroše, Kraslice",35.9,34.5,"Sokolov","Karlovarský"
"JVM Oil, Pražská 266, Pilníkov",35.9,34.9,"Trutnov","Královéhradecký"
"OMV, Znojemská 101, Hnanice",36.6,35.9,"Znojmo","Jihomoravský"
"OMV, Chvalovice-Hatě 200",37.9,36.9,"Znojmo","Jihomoravský"
"Benzina, Čs. Armády 1883, Kraslice",36.9,35.9,"Sokolov","Karlovarský"
"LukOil, Hevlín 471",35.5,34.5,"Znojmo","Jihomoravský"
"Jaromír Krchňavý, Hostěradice",36.9,35.7,"Znojmo","Jihomoravský"
"MG Management, Štítary",36.5,36.5,"Znojmo","Jihomoravský"
"ČS, 9. května, Veverská Bítýška",34.9,33.9,"Brno-venkov","Jihomoravský"
"Gallahart, Chvalovice-Hatě 185",34.9,33.9,"Znojmo","Jihomoravský"
"Dryml, Přímětická, Znojmo",37.9,36.7,"Znojmo","Jihomoravský"
"Benzina, Volyňská, Strakonice",34.5,34.5,"Strakonice","Jihočeský"
"OMV, Písecká, Strakonice",34.9,34.5,"Strakonice","Jihočeský"
"ČS, Suchohrdelská 3497, Znojmo",35.9,34.9,"Znojmo","Jihomoravský"
"ČS Jevišovice, Jevišovice 405",36.5,35.8,"Znojmo","Jihomoravský"
"OR Jeneč, Karlovarská 351, Jeneč",35.4,34.9,"Praha-západ","Středočeský"
"ČS, Dukelských Bojovníků 360, Znojmo",37.2,36.5,"Znojmo","Jihomoravský"
"ČS, Branišovice 167",37.4,36.9,"Znojmo","Jihomoravský"
"KLB oil, Vratimovská 306, Vratimov",34.9,34.4,"Frýdek-Místek","Moravskoslezský"
"Zemědělské obchodní družstvo Vilémov, Vilémov 227",35.9,34.9,"Havlíčkův Brod","Vysočina"
"Agro Žamberk, Tisová 156",35.99,34.99,"Ústí nad Orlicí","Pardubický"
"Blanka Suchá, Prosiměřice 213",36.6,36.6,"Znojmo","Jihomoravský"
"Čas Znojmo, Suchohrdelská 20, Znojmo",38.2,37.4,"Znojmo","Jihomoravský"
"Benzina, Cyrilometodějská 947, Valašské Klobouky",36.9,35.9,"Zlín","Zlínský"
"Benzina, Nádražní 159, Hrušovany nad Jevišovkou",35.9,35.2,"Znojmo","Jihomoravský"
"Benaz, Nádražní 1178, Miroslav",36.9,36.7,"Znojmo","Jihomoravský"
"Benzina Plus, Vídeňská, Znojmo",37.9,36.9,"Znojmo","Jihomoravský"
"Agip, silnice E59, Chvalovice",36.5,35.9,"Znojmo","Jihomoravský"
"Topexol, 5. května 43, Trhová Kamenice",33.9,33.9,"Chrudim","Pardubický"
"A+S, Višňové",36.3,34.8,"Znojmo","Jihomoravský"
"Agip, Nádražní 488, Hrušovany nad Jevišovkou",35.9,35.2,"Znojmo","Jihomoravský"
"A+S, Znojemská, Moravský Krumlov",36.9,35.5,"Znojmo","Jihomoravský"
"Tank ONO, s.r.o., Vídeňská, Jindřichův Hradec",32.9,32.9,"Jindřichův Hradec","Jihočeský"
"Frukoil, Vídeňská 629, Jindřichův Hradec",33.9,33.9,"Jindřichův Hradec","Jihočeský"
"OMV, silnice 34, Jindřichův Hradec",34.4,34.2,"Jindřichův Hradec","Jihočeský"
"PapOil, Drtinova, Praha 5-Smíchov",35.9,35.9,"Hlavní město Praha","Hlavní město Praha"
"KM-Prona, Kolínská 244, Uhlířské Janovice",36.9,35.9,"Kutná Hora","Středočeský"
"PapOil, Hradecká, Staré Hradiště",36.3,35.5,"Pardubice","Pardubický"
"Galon, Jungmanova 873, Uhlířské Janovice",36.9,35.9,"Kutná Hora","Středočeský"
"RoBiN OIL, s.r.o., silnice 118, Chyňava-Libečov 43",36.9,36.3,"Beroun","Středočeský"
"Chemis engine, Ivančická, Dolní Kounice",35.9,34.9,"Brno-venkov","Jihomoravský"
"Shell Czech Republic, a.s., Aviatická, Praha 6-Ruz",38.3,38.5,"Hlavní město Praha","Hlavní město Praha"
"Euro-Miky, Jindice 109",36.9,35.9,"Kutná Hora","Středočeský"
"Agip, silnice E442, Jablonné v Podještědí",35.6,34.8,"Česká Lípa","Liberecký"
"PapOil, Ostravská 77, Příbor",35.9,35.2,"Nový Jičín","Moravskoslezský"
"Benzina, silnice E462, Libhošť",36.9,35.9,"Nový Jičín","Moravskoslezský"
"Agro Žamberk, Krouna 172",33.7,33.8,"Chrudim","Pardubický"
"Unicorn, Studenec 190",35.1,34.3,"Třebíč","Vysočina"
"OMV, Obránců míru 53a/1361, Kopřivnice",37.2,36.9,"Nový Jičín","Moravskoslezský"
"EP Petrol, Budišov 344",36.2,35.4,"Třebíč","Vysočina"
"Benzina, Kouřimská 939, Kutná Hora",35.9,34.9,"Kutná Hora","Středočeský"
